smiles,Transfer_Learning,Index,UMAP_1,UMAP_2,PCA_1,PCA_2,TNSE_1,TNSE_2
CCCCNCCN1CN(c2ccccc2)C2(CCN(C3CCCc4ccc(Cl)cc43)CC2)C1=O,Pre-Training_Dataset,216545,-2.9839792,0.20550933,-0.5556730129015471,1.6819756801511563,-4.958122,6.6941147
CC(CNc1ccc(OC(F)(F)F)cc1)NC(=O)C(CCC1CCCCC1)CC(=O)N1CCOCC1,Pre-Training_Dataset,459680,-1.8321744,-1.4415601,1.186815971498988,1.8035432280774293,-12.969351,26.691687
Cc1cc(C)c(N)c(Cl)c1,Pre-Training_Dataset,922067,-2.3422153,2.3204992,-1.1158005072075288,-0.4646832103699118,3.4542646,-1.6976577
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)NCC2CC2)cc1,Pre-Training_Dataset,718630,-0.9798757,0.26821068,0.1177908432903897,0.13817317392279707,8.58492,-32.651283
O=c1sc2cc(N(S(=O)(=O)c3ccccc3)S(=O)(=O)c3ccccc3)ccc2n1CCN1CCCC1,Pre-Training_Dataset,74999,-3.3631725,0.22081956,-0.2704642920728397,0.7377590315321325,35.313152,0.2969345
CCONC(=S)Nc1cc(Cl)cc(Cl)c1,Pre-Training_Dataset,1284621,-1.5666298,2.0441284,-0.35367623572934576,-0.7605036596993773,-3.9105008,7.633815
Cc1ccccc1-n1nnnc1SCC(=O)Nc1ccc(N2CCN(C)CC2)cc1,Pre-Training_Dataset,138222,-1.2362552,0.23257783,0.31443960928677367,0.3403221635434024,8.91864,19.117048
CCOC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)c(-c2ccc(OC)c(O)c2)s1,Pre-Training_Dataset,620094,0.34431726,0.3854628,0.22429162220522728,-1.0247618318020364,14.921535,-0.7089865
Cn1cc(C(=O)NCc2ccc(Cl)cc2)c(=O)c2sc(CN3CCOCC3)cc21,Pre-Training_Dataset,983124,-1.6910173,0.03819023,-0.3783652056564586,0.6946061072225896,13.00478,14.413697
COc1ccc(C(=O)Nc2nc(C)c(C(=O)NNC(=S)Nc3ccccc3)s2)cc1,Pre-Training_Dataset,1245475,-0.7003628,0.98648137,1.3001024946667061,-1.7976689239324377,0.6134943,7.6370287
CNC(=O)Nc1cccc(NC(=O)NC)n1,Pre-Training_Dataset,1278918,-1.6547279,1.7316588,0.3296446328019915,-0.9071081254997797,1.024273,5.3760624
COc1ccc(C2CC(=O)C(=CC=C(C)C=CC=C(C)C=CC3=C(C)CCCC3(C)C)C(=O)C2)cc1,Pre-Training_Dataset,1206578,-0.43825075,0.078951225,-0.001953572217284398,0.9058187427924191,-10.198957,2.8550258
CC1(C)CCC(C)(C)c2nc(-c3c[nH]c(-c4ccc(C(=O)O)cc4)n3)cnc21,Pre-Training_Dataset,784124,-2.806373,1.1823821,-0.35565982761860054,-0.2555365168140698,3.9143126,-20.122078
CN(C)CCN1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,Pre-Training_Dataset,1399528,-0.7903034,0.1270264,-0.0814252154022366,-0.11259300449268501,3.6964288,15.919243
O=[N+]([O-])c1ccc(N2CC3CC2CN3)cc1,Pre-Training_Dataset,123131,0.005489378,1.8006384,-0.39460757735408825,0.6613482456529868,-1.4567107,-30.56534
C=CCNc1nc(Cl)nc(Nc2ccc(OC)cc2OC)n1,Pre-Training_Dataset,945495,-0.080059476,0.66743463,-0.19328340750651993,-0.5640802349864008,-14.272867,5.7253976
N#CC(c1cccc(Cl)c1)c1ccc2c(C(F)(F)F)cc(C(F)(F)F)nc2n1,Pre-Training_Dataset,758722,-2.8153837,2.230732,-1.2539183437863675,-0.8144953223101385,10.407365,-9.111336
COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2OC(C)=O)c1,Pre-Training_Dataset,159105,0.03374007,-0.6284735,0.649564787955152,-0.16346662269679407,-26.839952,20.083248
CCNc1ccc(C(=O)N2CCCCc3ccccc32)c(Cl)c1,Pre-Training_Dataset,1498844,-2.7113273,-0.13263221,-0.036865798360641515,0.37086437722069543,30.24634,28.978022
N=C(N)NCCCC1NC(CNC(=O)C=Cc2c(F)cccc2F)CCN(CC(c2ccccc2)c2ccccc2)C1=O,Pre-Training_Dataset,973119,-2.7316108,-1.0915372,0.4061016600932363,0.8694842676602009,-19.159632,-13.846488
CN1CCN(CC(=O)Nc2ccc(Sc3c(O)nc4ccc(C(F)(F)F)cc4c3-c3cc(Cl)ccc3O)cc2)CC1,Pre-Training_Dataset,328473,-1.464343,0.30210677,-1.042998632509733,-0.27781813337419126,5.423705,16.92449
Cc1ccc(OC2CC3CN(Cc4nccn4C)CCN3C2)cc1,Pre-Training_Dataset,1073271,-1.0243568,-0.23415394,-0.2700128369576599,1.2131051228270757,11.538668,21.480688
Cc1cc(O)c(-c2ccc(CCN)c(Cl)c2)c2c1[nH]c(=O)c1sccc12,Pre-Training_Dataset,288998,0.38970777,0.25272688,-1.4820280764362843,-0.7874558111435895,-9.626972,-5.489935
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(C#N)NC1,Pre-Training_Dataset,1483414,-2.7836263,-9.425881,0.9948234974063329,0.7048695906064121,-34.291084,2.3649957
CNC1CCN(c2nc(NCc3ccc(F)cc3)c3ccccc3n2)CC1,Pre-Training_Dataset,1124822,-2.5257483,0.22269644,-0.29024773552428235,0.8580456373157749,19.11092,1.9603428
O=C(c1cc(C2CC2)[nH]n1)N1CCN(Cc2ccccc2)CC1,Pre-Training_Dataset,438992,-1.9914138,-0.5371942,0.09645594399876839,1.084153807254083,12.074417,31.5842
Cc1c(OCCCCOc2ccc(CCC(=O)O)c(O)c2)ccc(C(=O)CC(C)C)c1O,Pre-Training_Dataset,542339,0.020085191,-0.11593728,0.9671500527464042,-0.959276065423347,-17.7254,16.05817
O=C(NCCCn1cccn1)c1cc(COc2ccc(F)cc2Cl)on1,Pre-Training_Dataset,22530,-1.7442431,1.7571661,-0.4389465185844946,-0.6288810541974479,-8.290397,-11.114479
COc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1CN1C(=O)c2ccccc2C1=O,Pre-Training_Dataset,122269,-0.43944445,-0.90091026,-0.7141325234342255,0.12635972475781346,-5.0928736,-5.518853
Cc1ccc(C(=O)NC2C3(C)CCC(C3)C2(C)C)cc1S(=O)(=O)N1CCOCC1,Pre-Training_Dataset,863989,-1.6753975,0.083812326,0.19431090632168704,1.4711399218163366,8.480469,22.303865
COc1ccc(-c2nnc(NC(=O)C(C)NC(=O)C=Cc3ccccc3)s2)cc1,Pre-Training_Dataset,434916,-0.4481663,0.8615247,1.7293309408445976,-1.264018136094874,-10.532033,4.475487
CC(c1nc(-c2ccccc2Cl)no1)C(N)C(=O)N1CCCC1,Pre-Training_Dataset,1301407,-2.1190867,-0.4155604,-0.12630057321877988,0.5412987045682316,17.320913,-0.9917787
CNC(=O)c1nc2c(s1)CCN(C(=O)c1ccc(OC)cc1)CC2,Pre-Training_Dataset,854024,-1.0697619,-0.11314973,0.5709896454842318,-0.06217035065704023,-10.873635,6.0405087
Cc1ccc(C(C(=O)NC(C)(C)CN2CCCC2)N(C)C)cc1,Pre-Training_Dataset,400170,-2.1306958,0.2512986,0.8098116377405034,0.6922078906263809,-15.850965,15.360604
O=S(=O)(NCCNc1cc(-n2cccn2)ncn1)c1cccs1,Pre-Training_Dataset,1325229,-1.3743054,1.1687207,-0.4209909478963774,-0.5298941913834404,0.057619594,-5.321904
CCCCn1cc2c(nc(NC(=O)Nc3ccc(N(CCCl)CCCl)cc3)n3nc(-c4ccco4)nc23)n1,Pre-Training_Dataset,205409,-0.6273242,1.3691089,0.3080714130773203,-0.5029629546792475,-5.436819,12.978188
COc1ccccc1-n1ccnc(SCC(=O)NCc2ccccc2Cl)c1=O,Pre-Training_Dataset,4439,-0.7193358,0.2629601,0.03827596082037097,-0.7243247690834544,-4.0350814,26.278858
