,can,score,time
0,Nc1[CH]ncc1-c1ccc(C2=NS(=O)(=O)c3c(O)c(Cl)ccc3N2)s1,-7.1,268.5907664299011
1,c1(C)c2c(C(NC(OC)=O)C(O)=O)c(cccc2)c(NC(=O)N)c1,-6.7,469.5524139404297
2,FC(F)(F)c1cccc(CN2C[C@@H](C)C(=O)C2)c1NC(=O)C(=O)O,-7.1,389.00899028778076
3,OC(Cc1ccc2c(c1)N(C(=O)CO)CC2)C(Cc1ccccc1)=O,-6.2,401.61588191986084
4,CN1c2ccccc2C(=O)Nc2ccccc2S1(=O)=O,-6.1,177.77366399765015
5,C1OCC2CCC(CCNS(=O)(=O)c3c(=O)n(C)ccc3)CC2C1=O,-6.5,329.7949073314667
6,Fc1c2c(ccc(O)c1)c(C(O)=O)Sc1cc(Cl)c(F)cc12,-7.1,328.3083064556122
7,C1CCCC(S(=O)(=O)NC2c3c(cccc3)OC(CC)(C(=O)N)C2)C1,-7.6,356.57383012771606
8,c1(C)cc(N(S(=O)(=O)C)Cc2cc(NC)ccn2)c1Br,-6.2,328.863906621933
9,c1cc(F)c(NC(=O)C23CCC(=O)N2c2ccccc2NC3=O)cc1Cl,-7.3,402.14886450767517
10,C1CCC2(CN1)c1ccccc1C(C)(C1CC1)C(=O)OC2=O,-6.8,211.4464201927185
11,FC(F)(F)c1ncc(NS(CC(N)=O)C(F)(F)F)c(C(F)(F)F)c1,-6.3,338.34648275375366
12,S1=C(c2cc3cc(Cl)c(F)cc3n2Cc2ccc[nH]2)[nH]1,-5.6,248.79502820968628
13,C1CC2CCC(c3cc(C(F)(F)F)ccc3C2)CC1,-6.5,180.66018962860107
14,c1ccc(CC(NS(=O)(=O)CC2CCCCC2)C(O)=O)cc1Br,-6.4,329.3583188056946
15,C1CN(Cc2ccccc2)c2cscc2CC1=O,-5.3,218.7963855266571
16,O=S1(=O)N(Cc2ccccc2)c2ccccc21,-5.6,209.02689504623413
17,c12c(n(Cc3ccc[nH]c3=O)c1=O)cc(CCC(=O)O)CC(O)CC2Cl,-6.9,470.83450078964233
18,c1cc2c(n(C(=O)NC(C3CC3)C3CC3)s1)S(=O)(=O)C2=O,-5.2,250.62541484832764
19,C1[CH](C)C(N2C[C@@H](Cc3ccc(F)c(F)c3)CC2)C(O)C1,-6.2,309.1617856025696
20,C1CN(c2cc3c(cc2F)CS(=O)(=O)N3c2c(C)cccc2)CC1,-7.4,315.95068192481995
21,C1CCCCC1Cn1ccc2c(c(Cl)cccc2c1=O)=O,-6.1,233.7426722049713
22,c1cc(C)c2n[nH]c(=O)cc2c1N(CCCC)S(=O)(C)=O,-6.0,258.1445667743683
23,c1(Oc2cc(F)ccc2C(F)(F)F)sc1CC1CC(=O)O1,-5.9,277.3793978691101
24,C1(F)S(=O)(=O)Oc2c3ccccc3c(cc2)ccc1=O,-6.2,180.23525381088257
25,c1(F)c(-c2c(Cl)cccc2)c2cccc(C(N)=O)c12,-6.7,283.74759817123413
26,c1(F)ccc1C1(C(O)=O)C(=O)Nc2nonc21,-5.4,321.9485020637512
27,c1cc(Oc2cccc3c2CN(C)SC3)sc1CC(=O)O,-5.4,299.92739701271057
28,C1CN(CCn2c(C3CCCCC3)c3c(c2)NC(=O)CC3=O)C[C@H]1,-6.4,303.8452413082123
29,s1c(S(=O)(=O)C2CCCCC2)cc2occ3c2n1CC3,-6.6,251.20021796226501
30,c1c(C)cc(Cn2c(C#CCO)c(-c3ccc[nH]c3=O)c3ccccc32)cc1,-7.0,437.35821413993835
