,can,score,time
0,Nc1[CH]ncc1-c1ccc(C2=NS(=O)(=O)c3c(O)c(Cl)ccc3N2)s1,-5.9,143.61898064613342
1,c1(C)c2c(C(NC(OC)=O)C(O)=O)c(cccc2)c(NC(=O)N)c1,,
2,FC(F)(F)c1cccc(CN2C[C@@H](C)C(=O)C2)c1NC(=O)C(=O)O,,
3,OC(Cc1ccc2c(c1)N(C(=O)CO)CC2)C(Cc1ccccc1)=O,,
4,CN1c2ccccc2C(=O)Nc2ccccc2S1(=O)=O,,
5,C1OCC2CCC(CCNS(=O)(=O)c3c(=O)n(C)ccc3)CC2C1=O,,
6,Fc1c2c(ccc(O)c1)c(C(O)=O)Sc1cc(Cl)c(F)cc12,,
7,C1CCCC(S(=O)(=O)NC2c3c(cccc3)OC(CC)(C(=O)N)C2)C1,,
8,c1(C)cc(N(S(=O)(=O)C)Cc2cc(NC)ccn2)c1Br,,
9,c1cc(F)c(NC(=O)C23CCC(=O)N2c2ccccc2NC3=O)cc1Cl,,
10,C1CCC2(CN1)c1ccccc1C(C)(C1CC1)C(=O)OC2=O,,
11,FC(F)(F)c1ncc(NS(CC(N)=O)C(F)(F)F)c(C(F)(F)F)c1,,
12,S1=C(c2cc3cc(Cl)c(F)cc3n2Cc2ccc[nH]2)[nH]1,,
13,C1CC2CCC(c3cc(C(F)(F)F)ccc3C2)CC1,,
14,c1ccc(CC(NS(=O)(=O)CC2CCCCC2)C(O)=O)cc1Br,,
15,C1CN(Cc2ccccc2)c2cscc2CC1=O,,
16,O=S1(=O)N(Cc2ccccc2)c2ccccc21,,
17,c12c(n(Cc3ccc[nH]c3=O)c1=O)cc(CCC(=O)O)CC(O)CC2Cl,,
18,c1cc2c(n(C(=O)NC(C3CC3)C3CC3)s1)S(=O)(=O)C2=O,,
19,C1[CH](C)C(N2C[C@@H](Cc3ccc(F)c(F)c3)CC2)C(O)C1,,
20,C1CN(c2cc3c(cc2F)CS(=O)(=O)N3c2c(C)cccc2)CC1,,
21,C1CCCCC1Cn1ccc2c(c(Cl)cccc2c1=O)=O,,
22,c1cc(C)c2n[nH]c(=O)cc2c1N(CCCC)S(=O)(C)=O,,
23,c1(Oc2cc(F)ccc2C(F)(F)F)sc1CC1CC(=O)O1,,
24,C1(F)S(=O)(=O)Oc2c3ccccc3c(cc2)ccc1=O,,
